img_id,rle_mask
47,103046 8 103558 8 104066 14 104578 14 105088 18 105600 18 106110 22 106622 22 107134 22 107646 22 108156 24 108668 24 109178 26 109690 26 110202 24 110714 24 111224 26 111736 26 112246 26 112758 26 113268 26 113780 26 114292 24 114804 24 115314 24 115826 24 116336 24 116848 24 117358 26 117870 26 118382 24 118894 24 119404 24 119916 24 120426 26 120938 26 121448 26 121960 26 122472 24 122984 24 123494 26 124006 26 124516 26 125028 26 125540 24 126052 24 126562 24 127074 24 127584 24 128096 24 128606 24 129118 24 129628 24 130140 24 130650 24 131162 24 131672 24 132184 24 132694 24 133206 24 133718 22 134230 22 134740 24 135252 24 135762 24 136274 24 136784 24 137296 24 137806 24 138318 24 138828 24 139340 24 139850 24 140362 24 140872 24 141384 24 141894 26 142406 26 142918 24 143430 24 143940 24 144452 24 144964 22 145476 22 145986 24 146498 24 147010 22 147522 22 148034 20 148546 20 149058 20 149570 20 150082 18 150594 18 151108 14 151620 14 152134 10 152646 10 153160 6 153672 6
48,184936 6 185448 6 185958 10 186470 10 186980 14 187492 14 188004 14 188516 14 189026 14 189538 14 190050 14 190562 14 191074 14 191586 14 192096 14 192608 14 193120 14 193632 14 194144 12 194656 12 195166 14 195678 14 196190 12 196702 12 197212 12 197724 12 198236 12 198748 12 199260 10 199772 10 200282 12 200794 12 201306 10 201818 10 202328 12 202840 12 203352 10 203864 10 204374 12 204886 12 205398 10 205910 10 206422 8 206934 8 207448 4 207960 4
49,27302 8 27814 8 28324 12 28836 12 29346 14 29858 14 30368 18 30880 18 31392 18 31904 18 32416 18 32928 18 33440 20 33952 20 34466 18 34978 18 35490 18 36002 18 36514 20 37026 20 37540 18 38052 18 38564 18 39076 18 39588 20 40100 20 40614 18 41126 18 41638 18 42150 18 42662 20 43174 20 43688 18 44200 18 44712 16 45224 16 45738 14 46250 14 46762 12 47274 12 47790 4 48302 4
50,
51,205730 2 206242 2 206748 12 207260 12 207770 18 208282 18 208790 22 209302 22 209812 26 210324 26 210836 26 211348 26 211858 28 212370 28 212880 30 213392 30 213902 32 214414 32 214924 34 215436 34 215948 34 216460 34 216970 34 217482 34 217992 34 218504 34 219014 34 219526 34 220036 34 220548 34 221058 34 221570 34 222078 36 222590 36 223100 36 223612 36 224122 36 224634 36 225144 36 225656 36 226164 38 226676 38 227186 38 227698 38 228208 38 228720 38 229228 40 229740 40 230250 40 230762 40 231272 38 231784 38 232294 38 232806 38 233316 38 233828 38 234338 38 234850 38 235362 36 235874 36 236384 34 236896 34 237408 32 237920 32 238432 30 238944 30 239456 28 239968 28 240480 26 240992 26 241506 22 242018 22 242532 18 243044 18 243556 16 244068 16 244584 10 245096 10
52,74460 10 74972 10 75480 18 75992 18 76502 22 77014 22 77524 24 78036 24 78546 28 79058 28 79568 32 80080 32 80590 34 81102 34 81612 36 82124 36 82634 38 83146 38 83656 40 84168 40 84678 42 85190 42 85700 42 86212 42 86722 42 87234 42 87742 44 88254 44 88758 48 89270 48 89776 48 90288 48 90796 50 91308 50 91816 50 92328 50 92836 52 93348 52 93858 52 94370 52 94880 52 95392 52 95902 52 96414 52 96926 48 97438 48 97948 48 98460 48 98972 46 99484 46 99996 42 100508 42 101022 36 101534 36 102046 34 102558 34 103072 30 103584 30 104096 26 104608 26 105122 22 105634 22 106148 16 106660 16 107176 8 107688 8
53,53060 8 53572 8 54082 12 54594 12 55104 16 55616 16 56126 20 56638 20 57148 22 57660 22 58170 24 58682 24 59194 24 59706 24 60216 24 60728 24 61240 22 61752 22 62262 24 62774 24 63284 24 63796 24 64306 22 64818 22 65326 24 65838 24 66344 28 66856 28 67364 30 67876 30 68386 32 68898 32 69408 32 69920 32 70430 32 70942 32 71454 30 71966 30 72478 28 72990 28 73502 26 74014 26 74526 24 75038 24 75550 22 76062 22 76576 20 77088 20 77600 18 78112 18 78626 12 79138 12 79654 6 80166 6
54,27596 2 28108 2 28620 2 29132 2 31380 2 31892 2 32400 10 32912 10 33422 14 33934 14 34444 16 34956 16 35468 16 35980 16 36492 18 37004 18 37516 18 38028 18 38540 18 39052 18 39564 18 40076 18 40590 18 41102 18 41614 18 42126 18 42638 18 43150 18 43664 16 44176 16 44688 18 45200 18 45712 18 46224 18 46738 16 47250 16 47762 18 48274 18 48786 18 49298 18 49812 16 50324 16 50836 16 51348 16 51860 18 52372 18 52886 16 53398 16 53910 18 54422 18 54936 16 55448 16 55960 18 56472 18 56986 16 57498 16 58010 16 58522 16 59034 18 59546 18 60058 18 60570 18 61084 16 61596 16 62108 18 62620 18 63132 18 63644 18 64158 16 64670 16 65182 16 65694 16 66206 16 66718 16 67232 12 67744 12 68256 10 68768 10 69284 2 69796 2
55,72270 4 72782 4 73290 12 73802 12 74312 16 74824 16 75334 20 75846 20 76356 24 76868 24 77378 28 77890 28 78402 30 78914 30 79424 34 79936 34 80448 36 80960 36 81470 40 81982 40 82496 42 83008 42 83522 42 84034 42 84548 42 85060 42 85576 40 86088 40 86604 38 87116 38 87630 36 88142 36 88658 32 89170 32 89684 30 90196 30 90710 26 91222 26 91736 24 92248 24 92764 18 93276 18 93790 14 94302 14 94818 8 95330 8
56,155528 4 156040 4 156550 12 157062 12 157572 18 158084 18 158596 20 159108 20 159618 22 160130 22 160642 22 161154 22 161664 24 162176 24 162688 24 163200 24 163710 26 164222 26 164734 26 165246 26 165758 24 166270 24 166782 24 167294 24 167804 24 168316 24 168828 24 169340 24 169852 24 170364 24 170874 24 171386 24 171898 24 172410 24 172922 22 173434 22 173946 22 174458 22 174968 22 175480 22 175992 22 176504 22 177016 20 177528 20 178038 22 178550 22 179062 22 179574 22 180086 20 180598 20 181108 22 181620 22 182132 22 182644 22 183154 24 183666 24 184178 22 184690 22 185200 24 185712 24 186224 24 186736 24 187248 22 187760 22 188270 24 188782 24 189294 22 189806 22 190318 22 190830 22 191342 20 191854 20 192364 20 192876 20 193388 20 193900 20 194410 20 194922 20 195432 22 195944 22 196456 22 196968 22 197478 24 197990 24 198500 24 199012 24 199524 24 200036 24 200546 26 201058 26 201568 26 202080 26 202592 26 203104 26 203616 26 204128 26 204610 6 204642 22 205122 6 205154 22 205632 10 205668 20 206144 10 206180 20 206654 14 206696 14 207166 14 207208 14 207676 18 207720 14 208188 18 208232 14 208702 16 208744 14 209214 16 209256 14 209734 6 209770 10 210246 6 210282 10 210760 2 210796 6 211272 2 211308 6
57,59168 36 59680 36 60178 52 60690 52 61192 64 61704 64 62206 74 62718 74 63220 82 63732 82 64238 88 64750 88 65254 96 65766 96 66270 104 66782 104 67290 108 67802 108 68312 110 68824 110 69334 110 69846 110 70356 110 70868 110 71380 108 71892 108 72404 104 72916 104 73428 96 73940 96 74452 78 74964 78 75476 70 75988 70 76500 62 77012 62 77524 50 78036 50 78548 38 79060 38 79574 26 80086 26 80598 20 81110 20 81624 12 82136 12
58,26470 12 26982 12 27492 18 28004 18 28516 20 29028 20 29538 22 30050 22 30560 26 31072 26 31582 30 32094 30 32606 30 33118 30 33630 32 34142 32 34654 34 35166 34 35680 34 36192 34 36706 34 37218 34 37732 30 38244 30 38758 28 39270 28 39782 28 40294 28 40808 26 41320 26 41834 24 42346 24 42858 24 43370 24 43884 24 44396 24 44912 20 45424 20 45938 20 46450 20 46972 12 47484 12 47998 12 48510 12 49022 14 49534 14 50048 14 50560 14 51072 16 51584 16 52096 18 52608 18 53120 18 53632 18 54144 20 54656 20 55168 22 55680 22 56192 24 56704 24 57216 24 57728 24 58242 24 58754 24 59268 24 59780 24 60292 26 60804 26 61318 26 61830 26 62344 26 62856 26 63370 26 63882 26 64394 28 64906 28 65420 28 65932 28 66446 28 66958 28 67472 28 67984 28 68498 28 69010 28 69524 26 70036 26 70550 26 71062 26 71576 24 72088 24 72602 22 73114 22 73626 22 74138 22 74652 20 75164 20 75678 18 76190 18 76704 14 77216 14 77730 10 78242 10 78758 4 79270 4
59,107402 14 107914 14 108422 28 108934 28 109446 66 109958 66 110468 72 110980 72 111492 74 112004 74 112516 74 113028 74 113540 76 114052 76 114564 76 115076 76 115588 78 116100 78 116614 76 117126 76 117638 76 118150 76 118662 76 119174 76 119688 74 120200 74 120714 70 121226 70 121778 26 122290 26
60,31386 12 31898 12 32408 16 32920 16 33430 20 33942 20 34454 20 34966 20 35476 24 35988 24 36500 24 37012 24 37524 22 38036 22 38546 24 39058 24 39570 24 40082 24 40594 24 41106 24 41618 24 42130 24 42640 24 43152 24 43664 24 44176 24 44688 24 45200 24 45712 24 46224 24 46734 24 47246 24 47758 24 48270 24 48782 24 49294 24 49804 26 50316 26 50828 24 51340 24 51852 24 52364 24 52876 24 53388 24 53898 26 54410 26 54922 26 55434 26 55946 26 56458 26 56970 24 57482 24 57994 24 58506 24 59018 24 59530 24 60040 26 60552 26 61064 26 61576 26 62088 26 62600 26 63112 24 63624 24 64134 26 64646 26 65158 26 65670 26 66182 24 66694 24 67206 24 67718 24 68230 24 68742 24 69254 24 69766 24 70278 24 70790 24 71300 26 71812 26 72324 26 72836 26 73348 24 73860 24 74372 24 74884 24 75396 24 75908 24 76422 22 76934 22 77446 22 77958 22 78470 22 78982 22 79496 20 80008 20 80520 18 81032 18 81546 16 82058 16 82574 10 83086 10
61,78568 6 79080 6 79590 12 80102 12 80612 16 81124 16 81634 20 82146 20 82658 24 83170 24 83682 26 84194 26 84704 32 85216 32 85728 36 86240 36 86752 40 87264 40 87776 44 88288 44 88802 46 89314 46 89826 50 90338 50 90852 52 91364 52 91878 52 92390 52 92906 52 93418 52 93934 50 94446 50 94964 46 95476 46 95994 42 96506 42 97022 44 97534 44 98050 44 98562 44 99078 46 99590 46 100106 44 100618 44 101134 44 101646 44 102162 44 102674 44 103192 42 103704 42 104220 42 104732 42 105246 44 105758 44 106274 42 106786 42 107300 46 107812 46 108326 48 108838 48 109354 46 109866 46 110382 44 110894 44 111408 44 111920 44 112436 42 112948 42 113464 38 113976 38 114492 34 115004 34 115520 30 116032 30 116548 26 117060 26 117574 24 118086 24 118602 20 119114 20 119630 14 120142 14 120658 10 121170 10
62,194252 4 194764 4 195274 8 195786 8 196294 12 196806 12 197316 14 197828 14 198338 14 198850 14 199360 16 199872 16 200382 18 200894 18 201404 20 201916 20 202428 20 202940 20 203450 22 203962 22 204474 24 204986 24 205496 30 206008 30 206520 32 207032 32 207544 36 208056 36 208566 40 209078 40 209590 42 210102 42 210614 44 211126 44 211640 44 212152 44 212664 48 213176 48 213690 52 214202 52 214718 54 215230 54 215746 54 216258 54 216774 56 217286 56 217802 56 218314 56 218830 56 219342 56 219858 56 220370 56 220886 54 221398 54 221914 56 222426 56 222942 56 223454 56 223970 54 224482 54 224996 54 225508 54 226024 52 226536 52 227052 48 227564 48 228080 44 228592 44 229108 42 229620 42 230136 38 230648 38 231166 30 231678 30 232194 26 232706 26 233220 24 233732 24 234246 22 234758 22 235274 18 235786 18 236300 16 236812 16 237326 12 237838 12 238354 6 238866 6
63,8940 12 9452 12 9962 18 10474 18 10984 22 11496 22 12006 26 12518 26 13030 26 13542 26 14052 28 14564 28 15076 26 15588 26 16098 28 16610 28 17122 28 17634 28 18144 28 18656 28 19168 26 19680 26 20190 28 20702 28 21214 26 21726 26 22236 26 22748 26 23260 26 23772 26 24282 26 24794 26 25304 26 25816 26 26328 24 26840 24 27350 26 27862 26 28372 26 28884 26 29396 24 29908 24 30418 26 30930 26 31440 26 31952 26 32462 26 32974 26 33486 24 33998 24 34508 26 35020 26 35530 26 36042 26 36552 26 37064 26 37574 28 38086 28 38598 26 39110 26 39620 26 40132 26 40642 28 41154 28 41666 26 42178 26 42690 26 43202 26 43714 24 44226 24 44738 22 45250 22 45762 20 46274 20 46786 18 47298 18 47812 12 48324 12 48840 2 49352 2
64,150160 2 150672 2 151182 6 151694 6 152204 8 152716 8 153226 12 153738 12 154248 14 154760 14 155272 14 155784 14 156294 14 156806 14 157318 14 157830 14 158342 14 158854 14 159366 12 159878 12 160394 2 160906 2 167566 2 168078 2 168588 6 169100 6 169614 2 170126 2
65,220732 6 221244 6 221754 10 222266 10 222776 14 223288 14 223798 16 224310 16 224820 20 225332 20 225842 20 226354 20 226864 22 227376 22 227886 22 228398 22 228908 22 229420 22 229932 22 230444 22 230954 22 231466 22 231976 22 232488 22 233000 20 233512 20 234022 20 234534 20 235044 20 235556 20 236068 18 236580 18 237090 18 237602 18 238112 18 238624 18 239136 16 239648 16 240158 18 240670 18 241180 18 241692 18 242204 16 242716 16 243226 16 243738 16 244250 14 244762 14 245274 12 245786 12 246300 8 246812 8
66,137938 4 138450 4 138958 10 139470 10 139980 14 140492 14 141004 16 141516 16 142026 18 142538 18 143048 18 143560 18 144072 16 144584 16 145094 16 145606 16 146116 16 146628 16 147138 16 147650 16 148160 16 148672 16 149182 16 149694 16 150204 16 150716 16 151228 14 151740 14 152250 14 152762 14 153274 12 153786 12 154300 8 154812 8 155326 2 155838 2
67,93054 6 93566 6 94070 20 94582 20 95090 24 95602 24 96112 28 96624 28 97134 30 97646 30 98158 30 98670 30 99180 32 99692 32 100204 32 100716 32 101230 30 101742 30 102254 30 102766 30 103278 30 103790 30 104302 30 104814 30 105328 30 105840 30 106352 30 106864 30 107376 30 107888 30 108402 28 108914 28 109426 28 109938 28 110450 28 110962 28 111474 30 111986 30 112498 30 113010 30 113524 28 114036 28 114548 28 115060 28 115572 28 116084 28 116596 30 117108 30 117622 28 118134 28 118646 28 119158 28 119670 30 120182 30 120694 30 121206 30 121718 30 122230 30 122744 30 123256 30 123768 30 124280 30 124792 30 125304 30 125816 32 126328 32 126840 32 127352 32 127864 32 128376 32 128890 32 129402 32 129914 32 130426 32 130938 32 131450 32 131964 30 132476 30 132988 32 133500 32 134012 32 134524 32 135036 32 135548 32 136062 30 136574 30 137086 30 137598 30 138110 30 138622 30 139136 28 139648 28 140160 30 140672 30 141184 30 141696 30 142210 28 142722 28 143234 30 143746 30 144258 30 144770 30 145284 28 145796 28 146308 28 146820 28 147334 26 147846 26 148358 26 148870 26 149384 24 149896 24 150410 20 150922 20 151438 12 151950 12
68,25208 2 25720 2 26228 10 26740 10 27250 14 27762 14 28272 18 28784 18 29294 20 29806 20 30318 22 30830 22 31340 24 31852 24 32364 24 32876 24 33386 26 33898 26 34408 26 34920 26 35432 26 35944 26 36456 26 36968 26 37478 26 37990 26 38502 26 39014 26 39524 26 40036 26 40548 26 41060 26 41570 26 42082 26 42594 26 43106 26 43616 26 44128 26 44640 26 45152 26 45662 26 46174 26 46684 26 47196 26 47706 28 48218 28 48728 28 49240 28 49750 30 50262 30 50774 28 51286 28 51796 30 52308 30 52818 32 53330 32 53840 32 54352 32 54864 32 55376 32 55886 32 56398 32 56908 34 57420 34 57932 32 58444 32 58956 32 59468 32 59980 30 60492 30 61006 28 61518 28 62034 22 62546 22 63062 18 63574 18 64088 14 64600 14 65116 8 65628 8
69,33500 8 34012 8 34520 16 35032 16 35542 20 36054 20 36562 26 37074 26 37584 28 38096 28 38606 32 39118 32 39626 36 40138 36 40648 38 41160 38 41668 42 42180 42 42688 46 43200 46 43708 48 44220 48 44730 48 45242 48 45750 50 46262 50 46770 50 47282 50 47790 50 48302 50 48810 50 49322 50 49832 48 50344 48 50852 48 51364 48 51870 50 52382 50 52888 52 53400 52 53908 52 54420 52 54926 54 55438 54 55946 54 56458 54 56966 56 57478 56 57986 56 58498 56 59006 56 59518 56 60026 54 60538 54 61046 54 61558 54 62066 54 62578 54 63086 56 63598 56 64106 56 64618 56 65126 58 65638 58 66148 58 66660 58 67170 56 67682 56 68194 54 68706 54 69218 50 69730 50 70244 46 70756 46 71268 42 71780 42 72294 36 72806 36 73318 34 73830 34 74344 28 74856 28 75370 22 75882 22 76398 12 76910 12
70,58932 8 59444 8 59954 12 60466 12 60974 16 61486 16 61996 18 62508 18 63018 20 63530 20 64042 20 64554 20 65064 20 65576 20 66086 20 66598 20 67108 22 67620 22 68128 22 68640 22 69150 22 69662 22 70172 22 70684 22 71194 22 71706 22 72216 22 72728 22 73240 20 73752 20 74264 18 74776 18 75288 16 75800 16 76314 10 76826 10 77340 4 77852 4
71,106218 10 106730 10 107238 18 107750 18 108260 22 108772 22 109286 24 109798 24 110312 26 110824 26 111344 24 111856 24 112370 26 112882 26 113398 24 113910 24 114426 20 114938 20 115460 8 115972 8
72,39684 6 40196 6 40706 10 41218 10 41728 14 42240 14 42750 16 43262 16 43772 20 44284 20 44794 22 45306 22 45818 22 46330 22 46840 24 47352 24 47864 24 48376 24 48886 26 49398 26 49910 26 50422 26 50932 26 51444 26 51956 26 52468 26 52978 26 53490 26 54002 26 54514 26 55024 26 55536 26 56046 26 56558 26 57070 26 57582 26 58092 26 58604 26 59114 26 59626 26 60138 24 60650 24 61160 24 61672 24 62182 24 62694 24 63206 22 63718 22 64228 22 64740 22 65250 22 65762 22 66272 20 66784 20 67296 18 67808 18 68318 16 68830 16 69342 14 69854 14 70366 10 70878 10 71388 10 71900 10 72414 4 72926 4
73,51034 4 51546 4 52054 10 52566 10 53076 14 53588 14 54098 18 54610 18 55122 18 55634 18 56144 22 56656 22 57168 22 57680 22 58190 24 58702 24 59214 22 59726 22 60238 22 60750 22 61262 22 61774 22 62286 22 62798 22 63308 22 63820 22 64332 22 64844 22 65356 22 65868 22 66380 20 66892 20 67404 20 67916 20 68426 22 68938 22 69450 20 69962 20 70474 20 70986 20 71498 20 72010 20 72520 22 73032 22 73544 20 74056 20 74568 20 75080 20 75590 22 76102 22 76614 22 77126 22 77638 22 78150 22 78660 24 79172 24 79684 22 80196 22 80708 22 81220 22 81732 22 82244 22 82754 24 83266 24 83778 22 84290 22 84802 22 85314 22 85826 22 86338 22 86850 20 87362 20 87874 20 88386 20 88900 16 89412 16 89924 16 90436 16 90952 10 91464 10
74,130626 8 131138 8 131648 12 132160 12 132670 16 133182 16 133692 20 134204 20 134716 20 135228 20 135738 24 136250 24 136762 26 137274 26 137786 26 138298 26 138812 26 139324 26 139838 24 140350 24 140862 26 141374 26 141888 24 142400 24 142914 24 143426 24 143938 26 144450 26 144964 24 145476 24 145990 24 146502 24 147014 24 147526 24 148040 24 148552 24 149066 24 149578 24 150090 26 150602 26 151116 26 151628 26 152142 24 152654 24 153166 26 153678 26 154192 26 154704 26 155216 26 155728 26 156242 24 156754 24 157266 22 157778 22 158292 20 158804 20 159318 16 159830 16 160344 12 160856 12 161370 6 161882 6
75,80558 8 81070 8 81580 12 82092 12 82594 24 83106 24 83614 28 84126 28 84636 28 85148 28 85658 30 86170 30 86680 30 87192 30 87704 26 88216 26 88726 24 89238 24 89748 22 90260 22 90772 20 91284 20 91794 22 92306 22 92816 22 93328 22 93840 22 94352 22 94862 22 95374 22 95886 20 96398 20 96908 20 97420 20 97930 22 98442 22 98954 20 99466 20 99976 20 100488 20 100998 20 101510 20 102022 18 102534 18 103044 20 103556 20 104066 20 104578 20 105090 18 105602 18 106112 20 106624 20 107136 18 107648 18 108158 18 108670 18 109180 18 109692 18 110204 16 110716 16 111224 18 111736 18 112246 18 112758 18 113268 18 113780 18 114290 18 114802 18 115312 20 115824 20 116334 20 116846 20 117356 22 117868 22 118380 20 118892 20 119402 22 119914 22 120426 20 120938 20 121448 22 121960 22 122472 20 122984 20 123494 20 124006 20 124518 20 125030 20 125540 20 126052 20 126564 20 127076 20 127588 18 128100 18 128612 16 129124 16 129634 16 130146 16 130658 16 131170 16 131684 12 131856 12 132196 12 132368 12 132708 8 132878 16 133220 8 133390 16 133900 18 134412 18 134924 18 135436 18 135948 18 136460 18 136970 20 137482 20 137994 20 138506 20 139020 16 139532 16 140046 12 140558 12 141072 6 141584 6
76,71530 6 72042 6 72552 8 73064 8 73576 8 74088 8 74600 6 75112 6 96104 10 96616 10 97126 14 97638 14 98148 16 98660 16 99170 18 99682 18 100192 20 100704 20 101216 20 101728 20 102238 22 102750 22 103262 22 103774 22 104286 22 104798 22 105310 20 105822 20 106336 18 106848 18 107362 14 107874 14 108388 10 108900 10 190098 8 190610 8 191120 14 191632 14 192142 20 192654 20 193166 22 193678 22 194190 24 194702 24 195214 26 195726 26 196240 26 196752 26 197266 26 197778 26 198292 26 198804 26 199320 26 199832 26 200346 24 200858 24 201374 22 201886 22 202402 18 202914 18 203428 16 203940 16 204456 12 204968 12 205486 2 205998 2
77,
78,147260 46 147772 46 148282 52 148794 52 149304 56 149816 56 150328 58 150840 58 151350 60 151862 60 152376 58 152888 58 153400 58 153912 58 154424 58 154936 58 155450 54 155962 54 156474 52 156986 52 157502 42 158014 42
79,64352 14 64864 14 65362 32 65874 32 66382 38 66894 38 67404 40 67916 40 68426 44 68938 44 69450 44 69962 44 70474 44 70986 44 71500 42 72012 42 72526 38 73038 38 73556 30 74068 30 74600 6 75112 6
80,220066 4 220578 4 221082 14 221594 14 222096 26 222608 26 223068 8 223110 38 223580 8 223622 38 224088 24 224126 46 224600 24 224638 46 225110 86 225622 86 226134 88 226646 88 227158 88 227670 88 228180 90 228692 90 229206 88 229718 88 230230 84 230742 84 231256 72 231768 72 232280 56 232792 56 233306 42 233818 42 234332 12 234844 12
81,24336 8 24848 8 25356 48 25868 48 26378 56 26890 56 27400 62 27912 62 28424 64 28936 64 29446 68 29958 68 30472 66 30984 66 31496 66 32008 66 32520 66 33032 66 33544 68 34056 68 34568 68 35080 68 35592 68 36104 68 36616 68 37128 68 37640 68 38152 68 38664 68 39176 68 39688 66 40200 66 40712 66 41224 66 41736 64 42248 64 42762 56 43274 56 43786 24 44298 24 44814 14 45326 14
82,186052 8 186564 8 187072 16 187584 16 188094 18 188606 18 189118 20 189630 20 190140 24 190652 24 191164 24 191676 24 192188 26 192700 26 193212 28 193724 28 194236 28 194748 28 195260 28 195772 28 196286 28 196798 28 197312 26 197824 26 198336 28 198848 28 199362 26 199874 26 200386 28 200898 28 201410 28 201922 28 202436 28 202948 28 203460 28 203972 28 204486 28 204998 28 205510 28 206022 28 206536 28 207048 28 207560 28 208072 28 208586 28 209098 28 209610 28 210122 28 210634 28 211146 28 211660 28 212172 28 212684 28 213196 28 213710 26 214222 26 214734 28 215246 28 215760 26 216272 26 216784 28 217296 28 217808 28 218320 28 218834 26 219346 26 219858 28 220370 28 220884 26 221396 26 221908 26 222420 26 222934 24 223446 24 223958 24 224470 24 224984 22 225496 22 226018 4 226530 4
83,125504 12 126016 12 126526 20 127038 20 127548 26 128060 26 128570 32 129082 32 129594 36 130106 36 130616 44 131128 44 131640 56 132152 56 132664 64 133176 64 133688 70 134200 70 134712 76 135224 76 135738 78 136250 78 136764 82 137276 82 137792 82 138304 82 138820 84 139332 84 139848 82 140360 82 140878 78 141390 78 141908 74 142420 74 142938 68 143450 68 143968 64 144480 64 144998 58 145510 58 146028 50 146540 50 147058 44 147570 44 148090 34 148602 34 149120 26 149632 26 150150 16 150662 16
84,36454 8 36966 8 37476 14 37988 14 38496 20 39008 20 39518 22 40030 22 40542 24 41054 24 41564 26 42076 26 42586 28 43098 28 43610 28 44122 28 44632 30 45144 30 45656 30 46168 30 46680 30 47192 30 47702 32 48214 32 48726 32 49238 32 49750 30 50262 30 50772 32 51284 32 51796 32 52308 32 52820 30 53332 30 53842 32 54354 32 54866 32 55378 32 55890 30 56402 30 56912 32 57424 32 57936 30 58448 30 58958 30 59470 30 59980 32 60492 32 61002 32 61514 32 62022 36 62534 36 63044 36 63556 36 64066 36 64578 36 65088 38 65600 38 66112 36 66624 36 67134 38 67646 38 68156 38 68668 38 69178 40 69690 40 70200 40 70712 40 71224 40 71736 40 72246 42 72758 42 73268 42 73780 42 74292 42 74804 42 75314 44 75826 44 76340 40 76852 40 77364 40 77876 40 78400 28 78912 28 79430 20 79942 20 80456 18 80968 18 81482 14 81994 14 82510 10 83022 10 83538 2 84050 2
85,122528 8 123040 8 123548 18 124060 18 124568 26 125080 26 125590 30 126102 30 126610 34 127122 34 127632 36 128144 36 128654 38 129166 38 129674 42 130186 42 130696 44 131208 44 131718 44 132230 44 132740 44 133252 44 133762 44 134274 44 134784 44 135296 44 135806 42 136318 42 136828 42 137340 42 137850 42 138362 42 138872 42 139384 42 139894 40 140406 40 140914 42 141426 42 141936 42 142448 42 142956 42 143468 42 143978 42 144490 42 144998 42 145510 42 146018 42 146530 42 147040 42 147552 42 148060 44 148572 44 149084 40 149596 40 150106 38 150618 38 151130 36 151642 36 152152 36 152664 36 153178 32 153690 32 154202 30 154714 30 155228 26 155740 26 156252 22 156764 22 157278 16 157790 16 158306 8 158818 8
86,97882 6 98394 6 98902 12 99414 12 99924 16 100436 16 100946 18 101458 18 101970 18 102482 18 102992 20 103504 20 104016 20 104528 20 105038 22 105550 22 106062 20 106574 20 107084 22 107596 22 108108 22 108620 22 109130 22 109642 22 110154 22 110666 22 111178 22 111690 22 112200 22 112712 22 113224 22 113736 22 114246 24 114758 24 115270 22 115782 22 116292 24 116804 24 117314 24 117826 24 118338 24 118850 24 119360 26 119872 26 120384 24 120896 24 121406 26 121918 26 122430 24 122942 24 123452 26 123964 26 124476 26 124988 26 125498 26 126010 26 126522 26 127034 26 127546 24 128058 24 128568 26 129080 26 129592 24 130104 24 130614 26 131126 26 131638 24 132150 24 132662 22 133174 22 133684 24 134196 24 134708 20 135220 20 135730 16 136242 16 136754 10 137266 10 137778 6 138290 6 138800 6 139312 6 139824 4 140336 4 206688 4 207200 4 207710 8 208222 8 208734 8 209246 8 209756 10 210268 10 210780 12 211292 12 211804 12 212316 12 212828 12 213340 12 213852 10 214364 10 214876 10 215388 10 215900 8 216412 8 216926 4 217438 4
87,130736 12 131248 12 131758 16 132270 16 132780 20 133292 20 133804 20 134316 20 134826 20 135338 20 135850 20 136362 20 136874 20 137386 20 137896 20 138408 20 138920 20 139432 20 139944 20 140456 20 140966 20 141478 20 141990 20 142502 20 143014 20 143526 20 144036 20 144548 20 145060 20 145572 20 146084 18 146596 18 147108 18 147620 18 148130 18 148642 18 149154 18 149666 18 150178 18 150690 18 151202 16 151714 16 152226 16 152738 16 153248 18 153760 18 154272 16 154784 16 155296 16 155808 16 156318 18 156830 18 157342 18 157854 18 158364 20 158876 20 159388 20 159900 20 160412 18 160924 18 161434 20 161946 20 162458 20 162970 20 163484 18 163996 18 164508 16 165020 16 165534 12 166046 12 166560 8 167072 8
88,205708 6 206220 6 206728 16 207240 16 207750 22 208262 22 208772 28 209284 28 209794 34 210306 34 210818 36 211330 36 211842 42 212354 42 212866 46 213378 46 213890 50 214402 50 214914 52 215426 52 215940 54 216452 54 216966 54 217478 54 217992 56 218504 56 219020 54 219532 54 220050 52 220562 52 221078 50 221590 50 222106 50 222618 50 223134 48 223646 48 224164 46 224676 46 225192 44 225704 44 226220 42 226732 42 227250 38 227762 38 228278 36 228790 36 229304 36 229816 36 230332 34 230844 34 231360 30 231872 30 232386 28 232898 28 233414 22 233926 22 234440 20 234952 20 235468 14 235980 14 236496 6 237008 6
89,133982 4 134494 4 135002 12 135514 12 136020 20 136532 20 137040 26 137552 26 138062 30 138574 30 139086 30 139598 30 140108 34 140620 34 141132 34 141644 34 142158 32 142670 32 143182 34 143694 34 144208 32 144720 32 145232 32 145744 32 146258 32 146770 32 147284 30 147796 30 148310 28 148822 28 149336 28 149848 28 150364 26 150876 26 151390 24 151902 24 152416 24 152928 24 153442 22 153954 22 154468 22 154980 22 155492 24 156004 24 156518 22 157030 22 157542 24 158054 24 158566 26 159078 26 159590 28 160102 28 160614 30 161126 30 161640 30 162152 30 162664 30 163176 30 163688 32 164200 32 164714 30 165226 30 165738 32 166250 32 166764 30 167276 30 167788 22 168300 22 168814 12 169326 12 169840 6 170352 6
